10 45
1 2 2
1 3 61
1 4 604.03
1 5 219.529
1 6 17.4929
1 7 13.4164
1 8 12.8062
1 9 91.8096
1 10 118.004
2 3 60.6712
2 4 602.03
2 5 217.598
2 6 16.5529
2 7 11.6619
2 8 11.3137
2 9 90.1388
2 10 118.004
3 4 595.454
3 5 201.022
3 6 45.0444
3 7 54.0093
3 8 52.0096
3 9 66.7533
3 10 58.8558
4 5 395.304
4 6 595.068
4 7 592
4 8 594.003
4 9 528.834
4 10 613.313
5 6 207.299
5 7 206.4
5 8 207.858
5 9 135.181
5 10 219.641
6 7 9.48683
6 8 7.07107
6 9 76.4788
6 10 103.31
7 8 2.82843
7 9 78.492
7 10 112.539
8 9 79.0759
8 10 110.368
9 10 101.98
