38 703
1 2 290.993
1 3 794.002
1 4 628.706
1 5 850.049
1 6 806.301
1 7 881.976
1 8 972.873
1 9 991.281
1 10 437.074
1 11 1237.92
1 12 1186.97
1 13 903.393
1 14 507.793
1 15 903.181
1 16 1178.84
1 17 1197.22
1 18 1201.22
1 19 1205.38
1 20 901.745
1 21 760.41
1 22 1032.29
1 23 943.222
1 24 1105.64
1 25 998.6
1 26 1011.26
1 27 1527.09
1 28 1338.98
1 29 1058.82
1 30 1205.64
1 31 1793.63
1 32 1337.94
1 33 1714.41
1 34 1740.6
1 35 1498.45
1 36 1852.35
1 37 1624.75
1 38 1858.09
2 3 512.541
2 4 341.888
2 5 564.412
2 6 515.312
2 7 591.026
2 8 682.877
2 9 701.258
2 10 457.159
2 11 946.943
2 12 896.436
2 13 622.352
2 14 483.514
2 15 624.62
2 16 891.177
2 17 909.785
2 18 914.28
2 19 918.592
2 20 660.673
2 21 811.125
2 22 779.035
2 23 717.717
2 24 847.67
2 25 774.511
2 26 792.031
2 27 1253.14
2 28 1082.89
2 29 966.32
2 30 1045.98
2 31 1533.67
2 32 1192.87
2 33 1472.37
2 34 1496.33
2 35 1308.44
2 36 1598.95
2 37 1412.89
2 38 1649.19
3 4 174.788
3 5 68.9656
3 6 167.353
3 7 182.24
3 8 299.64
3 9 312.282
3 10 882.962
3 11 492.023
3 12 463.569
3 13 370.983
3 14 866.291
3 15 391.358
3 16 503.101
3 17 521.808
3 18 530.939
3 19 536.248
3 20 591.747
3 21 1200.51
3 22 621.889
3 23 678.53
3 24 651.946
3 25 721.368
3 26 748.325
3 27 923.168
3 28 851.359
3 29 1154.17
3 30 1095.09
3 31 1245.58
3 32 1251.35
3 33 1252.08
3 34 1266.85
3 35 1251.66
3 36 1331.29
3 37 1288.37
3 38 1514.2
4 5 222.539
4 6 199.759
4 7 266.304
4 8 376.012
4 9 393.281
4 10 713.579
4 11 620.56
4 12 577.995
4 13 375.432
4 14 702.702
4 15 388.583
4 16 592.445
4 17 611.688
4 18 618.527
4 19 623.45
4 20 535.346
4 21 1040.03
4 22 603.944
4 23 617.421
4 24 652.507
4 25 668.077
4 26 693.06
4 27 992.853
4 28 875.331
4 29 1040.07
4 30 1021.02
4 31 1301.13
