194 18721
1 2 372.094
1 3 560.304
1 4 369.589
1 5 750.944
1 6 329.01
1 7 518.915
1 8 398.059
1 9 762.592
1 10 768.567
1 11 531.715
1 12 805.543
1 13 522.326
1 14 562.439
1 15 874.15
1 16 487.416
1 17 604.583
1 18 721.808
1 19 906.378
1 20 466.985
1 21 712.503
1 22 774.442
1 23 581.61
1 24 691.811
1 25 606.501
1 26 691.003
1 27 816.786
1 28 768.938
1 29 787.341
1 30 878.285
1 31 859.65
1 32 871.374
1 33 755.673
1 34 850.302
1 35 874.77
1 36 534.185
1 37 826.164
1 38 867.558
1 39 846.369
1 40 859.983
1 41 871.408
1 42 883.557
1 43 866.537
1 44 879.117
1 45 805.284
1 46 875.715
1 47 858.14
1 48 875.749
1 49 886.51
1 50 894.056
1 51 854.589
1 52 878.107
1 53 877.789
1 54 881.813
1 55 889.201
1 56 876.418
1 57 798.178
1 58 871.58
1 59 573.534
1 60 782.729
1 61 870.617
1 62 586.724
1 63 567.213
1 64 824.476
1 65 573.045
1 66 870.168
1 67 880.678
1 68 854.263
1 69 771.267
1 70 830.266
1 71 678.377
1 72 745.983
1 73 893.269
1 74 785.131
1 75 757.064
1 76 730.781
1 77 864.885
1 78 776.513
1 79 871.781
1 80 736.578
1 81 875.725
1 82 696.535
1 83 874.649
1 84 910.324
1 85 672.712
1 86 683.538
1 87 783.342
1 88 876.961
1 89 706.097
1 90 708.175
1 91 855.859
1 92 911.706
1 93 897.497
1 94 738.87
1 95 914.022
1 96 914.131
1 97 931.28
1 98 746.696
1 99 757.103
1 100 988.754
1 101 765.514
1 102 861.838
1 103 910.909
1 104 796.903
1 105 973.643
1 106 967.348
1 107 996.304
1 108 997.353
1 109 872.22
1 110 1042.01
1 111 827.749
1 112 1049.16
1 113 893.255
1 114 897.289
1 115 1070.76
1 116 1068.51
1 117 1085.18
1 118 1047.03
1 119 977.599
1 120 1148.3
1 121 1129.36
1 122 1037.01
1 123 1209.08
1 124 1219.26
1 125 990.843
1 126 993.333
1 127 988.45
1 128 1213.89
1 129 1173.31
1 130 1006.86
1 131 1152.84
1 132 1032.7
1 133 1209.23
1 134 1043.68
1 135 1197.66
1 136 1190.08
1 137 1082.7
1 138 1107.87
1 139 1119.77
1 140 1097.44
1 141 1154.84
1 142 1109.57
1 143 1257.33
1 144 1158.71
1 145 1118.5
1 146 1134.73
1 147 1200.35
1 148 1261.71
