29 406
1 2 74.5356
1 3 4109.91
1 4 3048
1 5 2266.91
1 6 973.539
1 7 4190.1
1 8 3301.89
1 9 4757.74
1 10 3044.35
1 11 3094.98
1 12 3986.26
1 13 5092.51
1 14 6406.15
1 15 5903.39
1 16 8436.2
1 17 6962.78
1 18 6693.61
1 19 6575.92
1 20 8009.39
1 21 7398.46
1 22 7266.05
1 23 7424.95
1 24 9639.27
1 25 9229.44
1 26 8320.27
1 27 9300.61
1 28 8102.47
1 29 7798.7
2 3 4069.71
2 4 2999.49
2 5 2213.59
2 6 900.617
2 7 4137.4
2 8 3238.53
2 9 4701.36
2 10 2969.9
2 11 3020.67
2 12 3913.83
2 13 5023.75
2 14 6336.66
2 15 5828.86
2 16 8368.36
2 17 6889.87
2 18 6619.58
2 19 6501.5
2 20 7937.76
2 21 7324.43
2 22 7191.69
2 23 7350.71
2 24 9570.38
2 25 9159.22
2 26 8247.71
2 27 9230.46
2 28 8028.84
2 29 7724.47
3 4 1172.37
3 5 1972.94
3 6 3496.23
3 7 891.004
3 8 1814.91
3 9 1415.49
3 10 3672.8
3 11 3777.16
3 12 2995.64
3 13 2876.15
3 14 3903.8
3 15 5055.83
3 16 5441.23
3 17 4989.6
3 18 5150.22
3 19 5315.73
3 20 5594.54
3 21 5726.22
3 22 5809.84
3 23 5856.59
3 24 6674.68
3 25 6464.69
3 26 6060.16
3 27 6521.93
3 28 6164.26
3 29 6162.55
4 5 816.667
4 6 2350
4 7 1172.13
4 8 994.708
4 9 1796.68
4 10 2648.37
4 11 2755.05
4 12 2315.29
4 13 2719.89
4 14 3972.38
4 15 4546.82
4 16 5801.94
4 17 4883.36
4 18 4886.18
4 19 4959.08
4 20 5695.22
4 21 5536.1
4 22 5544.93
4 23 5633.72
4 24 7044.25
4 25 6739.77
4 26 6110.28
4 27 6804.33
4 28 6090.18
4 29 5975.73
5 6 1533.33
5 7 1923.9
5 8 1188.02
5 9 2497.22
5 10 2208.38
5 11 2311.81
5 12 2324.09
5 13 3087.83
5 14 4400.1
5 15 4557.29
5 16 6341.09
5 17 5174.32
5 18 5070.72
5 19 5074.39
5 20 6093.55
5 21 5754.03
5 22 5710.72
5 23 5826.83
5 24 7572.24
5 25 7220.44
5 26 6470.55
5 27 7288.21
5 28 6373.03
5 29 6186.06
6 7 3416.83
6 8 2409.76
6 9 3935.38
6 10 2113.78
6 11 2175.11
6 12 3013.53
6 13 4141.29
6 14 5448.66
6 15 4954.91
6 16 7490.33
6 17 5989.27
6 18 5724.12
6 19 5614.71
6 20 7039.27
6 21 6428.98
6 22 6302.33
6 23 6458.37
6 24 8685.17
6 25 8266.62
6 26 7347.2
6 27 8338.15
6 28 7130.06
6 29 6831.79
7 8 1233.33
7 9 650.854
7 10 3086.35
7 11 3184.38
7 12 2202.27
7 13 1986.76
7 14 3063.53
7 15 4179.75
7 16 4733.71
7 17 4116.36
7 18 4260.58
7 19 4425.09
7 20 4775.46
7 21 4843.46
7 22 4920.89
7 23 4970.77
7 24 5976.92
7 25 5718.63
7 26 5227.33
7 27 5779.51
7 28 5300.97
7 29 5281.05
8 9 1586.49
8 10 1876.76
8 11 1978.57
8 12 1320.77
8 13 1899.85
8 14 3213.18
8 15 3555.63
8 16 5175.29
8 17 4005.14
8 18 3946.34
8 19 3992.11
8 20 4906.06
8 21 4614.75
8 22 4598.58
8 23 4700.01
8 24 6399.85
8 25 6036.97
8 26 5287.35
8 27 6105.23
8 28 5208.89
8 29 5051.39
9 10 3285.36
9 11 3373.51
9 12 2177.22
9 13 1576.3
9 14 2490.67
9 15 3883.66
9 16 4088.06
9 17 3600.35
9 18 3817.87
9 19 4029.34
9 20 4179.75
9 21 4355.7
9 22 4467.82
9 23 4496.69
9 24 5330.47
9 25 5083.33
9 26 4644.74
9 27 5143.09
9 28 4760.54
9 29 4787.1
10 11 106.719
10 12 1359.74
10 13 2673.84
10 14 3821.57
10 15 2863.81
10 16 5889.37
10 17 4089.15
10 18 3722.19
10 19 3559.69
10 20 5216.69
10 21 4421.2
10 22 4255.95
10 23 4427.56
10 24 7000.26
10 25 6513.11
10 26 5454.71
10 27 6587.07
10 28 5156.04
10 29 4801.34
11 12 1411.95
11 13 2723.61
11 14 3850.6
11 15 2824.1
11 16 5914.62
11 17 4086.73
11 18 3704.2
11 19 3530.27
11 20 5221.46
11 21 4400.62
11 22 4227.46
11 23 4402.31
11 24 7016.25
11 25 6523.14
11 26 5450.41
11 27 6597.24
11 28 5140.26
11 29 4775.62
12 13 1314.24
12 14 2510.06
12 15 2250.25
12 16 4583.09
12 17 2980.12
12 18 2777.14
12 19 2752.83
12 20 4030.51
12 21 3474.42
12 22 3401.58
12 23 3530.38
12 24 5733.26
12 25 5281.68
12 26 4334.17
12 27 5354.39
12 28 4141.69
12 29 3896.85
13 14 1321.76
13 15 2330.3
13 16 3350.17
13 17 2171.15
13 18 2274.07
13 19 2457.7
13 20 3007.03
13 21 2866.3
13 22 2934.13
13 23 2987.31
13 24 4546.82
13 25 4152.64
13 26 3399.35
13 27 4222.3
13 28 3375.44
13 29 3305.9
14 15 2350.16
14 16 2073.38
14 17 1202.91
14 18 1669.92
14 19 2040.85
14 20 1724.93
14 21 1998.42
14 22 2212.03
14 23 2172.37
14 24 3237.88
14 25 2830.93
14 26 2164.04
14 27 2900.71
14 28 2284.42
14 29 2396.64
15 16 3950.04
15 17 1739.81
15 18 1108.05
15 19 772.082
15 20 2879.86
15 21 1701.15
15 22 1449.95
15 23 1649.94
15 24 4779.7
15 25 4196.72
15 26 2930.92
15 27 4269.82
15 28 2469.82
15 29 2009.99
16 17 2220.67
16 18 2897.22
16 19 3324.15
16 20 1274.65
16 21 2650.9
16 22 3017.97
16 23 2836.8
16 24 1243.87
16 25 1087.94
16 26 1641.56
16 27 1129.04
16 28 2251.54
16 29 2772.56
17 18 683.333
17 19 1115.67
17 20 1173.08
17 21 795.677
17 22 1040.2
17 23 973.684
17 24 3063.45
17 25 2503.89
17 26 1367.28
17 27 2578.22
17 28 1207.04
17 29 1200.55
18 19 432.692
18 20 1775.53
18 21 704.871
18 22 663.009
18 23 756.109
18 24 3673.93
18 25 3088.73
18 26 1833.71
18 27 3161.79
18 28 1437.98
18 29 1119.72
19 20 2174.41
19 21 929.287
19 22 697.666
19 23 884.604
19 24 4063.73
19 25 3467.99
19 26 2176.71
19 27 3539.97
19 28 1697.87
19 29 1252.37
20 21 1399.58
20 22 1770.07
20 23 1577.03
20 24 1900.07
20 25 1330.83
20 26 509.902
20 27 1405.15
20 28 1001.8
20 29 1498.29
21 22 370.561
21 23 197.926
21 24 3221.68
21 25 2610.18
21 26 1285.42
21 27 2679.43
21 28 768.675
21 29 440.457
22 23 220.142
22 24 3583.19
22 25 2969.01
22 26 1638.26
22 27 3037.29
22 28 1070.34
22 29 560.078
23 24 3370.03
23 25 2754.49
23 26 1422.24
23 27 2822.27
23 28 850.64
23 29 374.139
24 25 620.26
24 26 1951.14
24 27 559.017
24 28 2580.48
24 29 3172.71
25 26 1333.33
25 27 74.5357
25 28 1960.23
25 29 2552.53
26 27 1400.4
26 28 648.288
26 29 1230.42
27 28 2023.54
27 29 2616.23
28 29 592.94
